country_1,country_2,country_3,country_4,Mitigation_Potential(MtCO2e),Mitigation_Cost($/tCO2e),Mitigation_Potential_at_0($/tCO2e),Mitigation_Potential_at_10($/tCO2e),Mitigation_Potential_at_20($/tCO2e),Mitigation_Potential_at_50($/tCO2e),Mitigation_Potential_at_Average_0($/tCO2e),Mitigation_Potential_at_Average_10($/tCO2e),Mitigation_Potential_at_Average_20($/tCO2e),Mitigation_Potential_at_Average_50($/tCO2e),BAU_Emissions(MtCO2e)
CO,CL,,,111.10832759040176,-33.517349603587476,93.2021567773872,93.2021567773872,95.17617726706963,99.15921484706861,111.10832759040176,111.10832759040176,111.10832759040176,111.10832759040176,111.10832759040252
CO,PE,,,87.13867352910702,5.005768226198666,62.14291685911084,65.26738644244412,65.26738644244412,69.71093882244406,84.01420394544367,87.13867352910702,87.13867352910702,87.13867352910702,87.13867352911038
CO,PE,CL,,146.58080755199276,-26.437772675910804,119.08649617532787,122.14141966199333,122.14141966199333,128.25126663199367,146.58080755199276,146.58080755199276,146.58080755199276,146.58080755199276,146.58080755199381
EG,,,,256.5288238444934,-43.35675704004644,232.73552689619055,235.3793732564371,235.3793732564371,240.66685121220738,256.5288238444934,256.5288238444934,256.5288238444934,256.5288238444934,256.52924401255245
EG,KE,,,269.1244010769361,-35.59592475298959,240.80869738363165,243.9554198123144,243.9554198123144,250.2493071040661,269.1244010769361,269.1244010769361,269.1244010769361,269.1244010769361,269.1425694760129
EG,MA,,,337.41797437262045,-31.85325746804953,303.3499984592138,303.7051941728117,307.13889067774664,314.7138254529009,337.41797437262045,337.41797437262045,337.41797437262045,337.41797437262045,337.4564807690641
EG,MA,KE,,350.0215829288174,-32.320128137842424,315.0554828156127,315.0554828156127,315.7163185093514,324.29379551684957,350.0215829288174,350.0215829288174,350.0215829288174,350.0215829288174,350.06980623252457
EG,NG,,,545.2785691229005,-8.464818468243296,450.4883471805657,460.90152784780395,460.90152784780395,481.9957587119028,545.2785691229005,545.2785691229005,545.2785691229005,545.2785691229005,545.2785691229005
EG,NG,KE,,557.891894586361,-26.20089935291936,460.15816499106165,469.47967584988595,469.47967584988595,491.58272785692975,557.891894586361,557.891894586361,557.891894586361,557.891894586361,557.891894586361
EG,NG,MA,,626.0442016570258,-12.129427768625375,520.967275034251,532.6419876001048,544.3308103268771,556.0292633050105,626.0442016570258,626.0442016570258,626.0442016570258,626.0442016570258,626.2058058794122
ID,,,,775.6002353182955,24.288144802064497,577.331946411515,602.0895038806352,620.600282179997,676.4511439106093,726.0256858902313,750.8129605156012,750.8129605156012,775.6002353182955,775.6002353182955
ID,BN,,,782.1996298689123,24.55880936438234,579.4568400012628,604.7583154151647,625.7582733861767,680.804569518018,731.5020987535223,756.8508643503977,756.8508643503977,782.1996298689123,782.1996298689123
ID,BN,TH,,1053.8194258428193,21.57946362954909,786.0476212887419,818.7620803371585,841.7909698095842,919.5120152666215,986.6757652953402,1020.2586273028888,1020.2586273028888,1053.8194258428193,1053.8479386463646
ID,MY,,,965.4448164614965,24.473721093161195,671.6047358258977,713.5756237456858,772.3544269919578,839.5101744011749,881.4883883884359,923.4666023752819,923.4666023752819,965.4448164614965,965.4448164614965
ID,MY,PH,,1151.290410280542,24.110081813145428,854.2440326619482,854.2440326619482,903.751721549857,1002.7671819361632,1052.2749252016051,1101.782667540035,1101.782667540035,1151.290410280542,1151.290410280542
ID,PH,,,961.445829137341,23.88865976060887,710.4760624549897,741.8165847471569,769.1125276601695,835.943380782483,898.6946043915847,930.0702167611626,930.0702167611626,961.445829137341,961.445829137341
KE,,,,12.613325463460011,20.81780811328706,8.073788350127142,8.073788350127142,8.073788350127142,8.829327823460487,11.964820161793776,11.964820161793776,11.964820161793776,12.613325463460011,12.613325463460448
KE,KR,EG,PE,619.6412808654673,29.771676457261794,470.80791689511227,489.5374050618991,489.5374050618991,508.27637162374856,601.8657993957734,601.8657993957734,601.8657993957734,619.6412808654673,620.7585560479356
